n,t,i,p,u,v
459,4.999999999999998,3,0.003585661446176959,0.0001485592543208684,3.3288493993031184e-05
460,5.099999999999998,1,-,-,-
461,5.099999999999998,2,-,-,-
462,5.099999999999998,3,0.003335169097202579,0.00014325619118512955,3.3002313520104904e-05
463,5.099999999999998,1,-,-,-
464,5.099999999999998,2,-,-,-
465,5.099999999999998,3,0.002999661725056601,0.00012760518170435028,2.8684762661695758e-05
466,5.099999999999998,1,-,-,-
467,5.099999999999998,2,-,-,-
468,5.099999999999998,3,0.003007413501141693,0.00012877233661989586,2.999902959684403e-05
469,5.1999999999999975,1,-,-,-
470,5.1999999999999975,2,-,-,-
471,5.1999999999999975,3,0.0025705144092865355,0.00010526803130541321,2.8432371664757437e-05
472,5.1999999999999975,1,-,-,-
473,5.1999999999999975,2,-,-,-
474,5.1999999999999975,3,0.002260913936845066,9.263750655495979e-05,2.6181256111407658e-05
475,5.1999999999999975,1,-,-,-
476,5.1999999999999975,2,-,-,-
477,5.1999999999999975,3,0.002243943347844413,9.217504481604929e-05,2.605947908775073e-05
478,5.299999999999997,1,-,-,-
479,5.299999999999997,2,-,-,-
480,5.299999999999997,3,0.002057953566845048,0.00010829582059489641,2.5410989931122236e-05
481,5.299999999999997,1,-,-,-
482,5.299999999999997,2,-,-,-
483,5.299999999999997,3,0.0019644997872802035,7.358381316825688e-05,2.4637940270531444e-05
484,5.299999999999997,1,-,-,-
485,5.299999999999997,2,-,-,-
486,5.299999999999997,3,0.0021193364653116875,8.252616243060533e-05,2.5056051394749986e-05
487,5.399999999999997,1,-,-,-
488,5.399999999999997,2,-,-,-
489,5.399999999999997,3,0.0021063766340128375,8.711436106902356e-05,2.381410254457845e-05
490,5.399999999999997,1,-,-,-
491,5.399999999999997,2,-,-,-
492,5.399999999999997,3,0.0020309596821208357,8.582687900152057e-05,2.1212282180334e-05
493,5.399999999999997,1,-,-,-
494,5.399999999999997,2,-,-,-
495,5.399999999999997,3,0.00219407716209245,9.114846843737716e-05,2.274444949252029e-05
496,5.4999999999999964,1,-,-,-
497,5.4999999999999964,2,-,-,-
498,5.4999999999999964,3,0.0021082953195753896,8.625660063060913e-05,2.2469244858820348e-05
499,5.4999999999999964,1,-,-,-
500,5.4999999999999964,2,-,-,-
501,5.4999999999999964,3,0.0019941480625088673,7.770633678387923e-05,2.0933395759742483e-05
502,5.4999999999999964,1,-,-,-
503,5.4999999999999964,2,-,-,-
504,5.4999999999999964,3,0.0021063495377650386,8.015156512803544e-05,2.1827109493311305e-05
505,5.599999999999996,1,-,-,-
506,5.599999999999996,2,-,-,-
507,5.599999999999996,3,0.002023115346317074,7.437215134067096e-05,2.176276801025053e-05
508,5.599999999999996,1,-,-,-
509,5.599999999999996,2,-,-,-
510,5.599999999999996,3,0.0019424730017360543,6.954213880626151e-05,1.9802666660202568e-05
511,5.599999999999996,1,-,-,-
512,5.599999999999996,2,-,-,-
513,5.599999999999996,3,0.0020667112045416693,7.28809641913619e-05,2.0461730672461062e-05
514,5.699999999999996,1,-,-,-
515,5.699999999999996,2,-,-,-
516,5.699999999999996,3,0.0020282911880205533,7.236675840578403e-05,1.953340824496084e-05
517,5.699999999999996,1,-,-,-
518,5.699999999999996,2,-,-,-
519,5.699999999999996,3,0.001962513811685965,7.017926339603638e-05,1.848542813511375e-05
520,5.699999999999996,1,-,-,-
521,5.699999999999996,2,-,-,-
522,5.699999999999996,3,0.0020923818626031906,7.577820738277246e-05,2.1209100362815538e-05
523,5.799999999999995,1,-,-,-
524,5.799999999999995,2,-,-,-
525,5.799999999999995,3,0.002016524564857164,7.487579945870635e-05,1.9099086391545045e-05
526,5.799999999999995,1,-,-,-
527,5.799999999999995,2,-,-,-
528,5.799999999999995,3,0.001910368640610815,7.072584993953719e-05,1.8688108982860728e-05
529,5.799999999999995,1,-,-,-
530,5.799999999999995,2,-,-,-
531,5.799999999999995,3,0.0019984416737553004,7.415862454017041e-05,1.825175654677928e-05
532,5.899999999999995,1,-,-,-
533,5.899999999999995,2,-,-,-
534,5.899999999999995,3,0.0018499573577905558,7.058013129014066e-05,1.7927728300503892e-05
535,5.899999999999995,1,-,-,-
536,5.899999999999995,2,-,-,-
537,5.899999999999995,3,0.00170980416183609,6.46394883518812e-05,1.6687588282926158e-05
538,5.899999999999995,1,-,-,-
539,5.899999999999995,2,-,-,-
540,5.899999999999995,3,0.0017600672949408473,6.736501815697248e-05,1.7796008226427972e-05
